# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.max.wait.ms,1781259645368000000,1781259659161000000,1
DiskQueryRelay.taskWaitingTotalTimeUs,1781259645368000000,1781259659161000000,10987
writeAction.count,1781259645368000000,1781259659161000000,5
parser.VTL.time.ns,1781259645368000000,1781259659161000000,867249
DiskQueryRelay.tasksExecuted,1781259645368000000,1781259659161000000,68
lexer.VTL.time.ns,1781259645368000000,1781259659161000000,481292
lexer.VTL.size.bytes,1781259645368000000,1781259659161000000,138
DiskQueryRelay.tasksRequested,1781259645368000000,1781259659161000000,68
writeAction.wait.ms,1781259645368000000,1781259659161000000,1
parser.VTL.size.bytes,1781259645368000000,1781259659161000000,138
writeAction.median.wait.ms,1781259645368000000,1781259659161000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1781259645368000000,1781259659161000000,1446
VFS.fileChildByName,1781259645368000000,1781259659161000000,430
VFS.fileByIdCache.hits,1781259645368000000,1781259659161000000,0
VFS.fileByIdCache.misses,1781259645368000000,1781259659161000000,0
VFS.invertedFileNameIndex.requests,1781259645368000000,1781259659161000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1781259645368000000,1781259659161000000,2
jps.global.handle.before.change.events.ms,1781259645368000000,1781259659161000000,0
workspaceModel.mutableEntityStorage.instances.count,1781259645368000000,1781259659161000000,6
workspaceModel.moduleManagerBridge.create.module.instance.ms,1781259645368000000,1781259659161000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1781259645368000000,1781259659161000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1781259645368000000,1781259659161000000,0
jps.app.storage.content.writer.save.component.ms,1781259645368000000,1781259659161000000,30
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1781259645368000000,1781259659161000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1781259645368000000,1781259659161000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1781259645368000000,1781259659161000000,0
workspaceModel.sync.entities.ms,1781259645368000000,1781259659161000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1781259645368000000,1781259659161000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1781259645368000000,1781259659161000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1781259645368000000,1781259659161000000,0
jps.library.entities.serializer.load.entities.ms,1781259645368000000,1781259659161000000,0
jps.global.initialize.library.bridges.after.loading.ms,1781259645368000000,1781259659161000000,1
workspaceModel.load.cache.from.file.ms,1781259645368000000,1781259659161000000,60
workspaceModel.moduleManagerBridge.build.module.graph.ms,1781259645368000000,1781259659161000000,0
jps.load.initial.state.ms,1781259645368000000,1781259659161000000,13
jps.global.get.library.ms,1781259645368000000,1781259659161000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1781259645368000000,1781259659161000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1781259645368000000,1781259659161000000,2
workspaceModel.mutableEntityStorage.referrers.ms,1781259645368000000,1781259659161000000,0
jps.save.global.entities.ms,1781259645368000000,1781259659161000000,41
workspaceModel.do.save.caches.ms,1781259645368000000,1781259659161000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1781259645368000000,1781259659161000000,0
workspaceModel.save.cache.to.file.ms,1781259645368000000,1781259659161000000,12
jps.app.storage.content.reader.load.component.ms,1781259645368000000,1781259659161000000,2
workspaceModel.global.apply.state.to.project.ms,1781259645368000000,1781259659161000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1781259645368000000,1781259659161000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1781259645368000000,1781259659161000000,0
workspaceModel.mutableEntityStorage.entities.ms,1781259645368000000,1781259659161000000,0
workspaceModel.global.updates.count,1781259645368000000,1781259659161000000,1
jps.global.initialize.library.bridges.ms,1781259645368000000,1781259659161000000,0
jps.global.handle.changed.events.ms,1781259645368000000,1781259659161000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1781259645368000000,1781259659161000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1781259645368000000,1781259659161000000,0
jps.library.entities.serializer.save.entities.ms,1781259645368000000,1781259659161000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1781259645368000000,1781259659161000000,1
workspaceModel.load.cache.metadata.from.file.ms,1781259645368000000,1781259659161000000,5
workspaceModel.moduleManagerBridge.load.module.ms,1781259645368000000,1781259659161000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1781259645368000000,1781259659161000000,0
jps.global.get.libraries.ms,1781259645368000000,1781259659161000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1781259645368000000,1781259659161000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1781259645368000000,1781259659161000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1781259645368000000,1781259659161000000,4
workspaceModel.global.updates.ms,1781259645368000000,1781259659161000000,6
jps.global.get.library.by.name.ms,1781259645368000000,1781259659161000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1781259645368000000,1781259659161000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1781259645368000000,1781259659161000000,6
StorageLockContext.competingThreads.avg,1781259645368000000,1781259659161000000,0.0
FileChannelInterruptsRetryer.totalRetriedAttempts,1781259645368000000,1781259659161000000,0
FilePageCache.totalPageDisposalsUs,1781259645368000000,1781259659161000000,1217
FilePageCache.maxRegisteredFiles,1781259645368000000,1781259659161000000,1056
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1781259645368000000,1781259659161000000,41943040
StorageLockContext.competingThreads.90P,1781259645368000000,1781259659161000000,0
DirectByteBufferAllocator.disposed,1781259645368000000,1781259659161000000,341
FilePageCache.pageLoads,1781259645368000000,1781259659161000000,384
FilePageCache.totalPageLoadsUs,1781259645368000000,1781259659161000000,189367
FilePageCache.pageHits,1781259645368000000,1781259659161000000,0
FilePageCache.capacityInBytes,1781259645368000000,1781259659161000000,629145600
FilePageCache.pageFastCacheHits,1781259645368000000,1781259659161000000,7638
DirectByteBufferAllocator.hits,1781259645368000000,1781259659161000000,3
StorageLockContext.competingThreads.max,1781259645368000000,1781259659161000000,0
DirectByteBufferAllocator.reclaimed,1781259645368000000,1781259659161000000,43
FilePageCache.uncachedFileAccess,1781259645368000000,1781259659161000000,228
FilePageCache.disposedBuffers,1781259645368000000,1781259659161000000,384
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1781259645368000000,1781259659161000000,41943040
DirectByteBufferAllocator.misses,1781259645368000000,1781259659161000000,381
FilePageCache.maxCacheSizeInBytes,1781259645368000000,1781259659161000000,399507456
FilePageCache.pageLoadsAboveSizeThreshold,1781259645368000000,1781259659161000000,0
NonBlockingReadAction.failedExecutionTimeUs,1781259645368000000,1781259659161000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1781259645368000000,1781259659161000000,52281
AWTEventQueue.dispatchTimeTotalNS,1781259645368000000,1781259659161000000,1449730019
NonBlockingReadAction.failedExecutionsCount,1781259645368000000,1781259659161000000,0
NonBlockingReadAction.finalizedExecutionsCount,1781259645368000000,1781259659161000000,30
workspaceModel.cachedValue.total.get.count,1781259645368000000,1781259659161000000,19
workspaceModel.initializing.ms,1781259645368000000,1781259659161000000,0
workspaceModel.pre.handlers.ms,1781259645368000000,1781259659161000000,0
workspaceModel.init.bridges.ms,1781259645368000000,1781259659161000000,0
workspaceModel.updates.count,1781259645368000000,1781259659161000000,0
workspaceModel.updates.precise.ms,1781259645368000000,1781259659161000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1781259645368000000,1781259659161000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1781259645368000000,1781259659161000000,0
workspaceModel.cachedValueWithParameters.clear.count,1781259645368000000,1781259659161000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1781259645368000000,1781259659161000000,5
workspaceModel.check.recursive.update.ms,1781259645368000000,1781259659161000000,0
workspaceModel.cachedValue.from.cache.count,1781259645368000000,1781259659161000000,17
workspaceModel.updates.ms,1781259645368000000,1781259659161000000,0
workspaceModel.loading.total.ms,1781259645368000000,1781259659161000000,3
workspaceModel.cachedValueWithParameters.total.get.count,1781259645368000000,1781259659161000000,0
workspaceModel.collect.changes.ms,1781259645368000000,1781259659161000000,0
workspaceModel.on.changed.ms,1781259645368000000,1781259659161000000,0
workspaceModel.on.before.changed.ms,1781259645368000000,1781259659161000000,0
workspaceModel.full.replace.project.model.ms,1781259645368000000,1781259659161000000,0
workspaceModel.to.snapshot.ms,1781259645368000000,1781259659161000000,0
workspaceModel.update.unloaded.entities.ms,1781259645368000000,1781259659161000000,0
workspaceModel.cachedValue.calculated.count,1781259645368000000,1781259659161000000,2
workspaceModel.replace.project.model.ms,1781259645368000000,1781259659161000000,0
workspaceModel.loading.from.cache.ms,1781259645368000000,1781259659161000000,1
workspaceModel.cachedValue.clear.count,1781259645368000000,1781259659161000000,0
Indexes.stubs.lookups,1781259645368000000,1781259659161000000,0
Indexes.stubs.lookupDurationAvgMs,1781259645368000000,1781259659161000000,0.0
Indexes.entries.lookupDuration90PMs,1781259645368000000,1781259659161000000,6.0
Indexes.entries.lookupDurationAvgMs,1781259645368000000,1781259659161000000,6.0
Indexing.cache.totalCacheMisses,1781259645368000000,1781259659161000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1781259645368000000,1781259659161000000,0
Indexes.allKeys.lookups,1781259645368000000,1781259659161000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1781259645368000000,1781259659161000000,0
Indexing.cache.totalCacheEvicted,1781259645368000000,1781259659161000000,0
Indexes.entries.lookups,1781259645368000000,1781259659161000000,1
Indexing.writer_0.totalTimeSpentWritingMs,1781259645368000000,1781259659161000000,0
Indexes.allKeys.lookupDurationAvgMs,1781259645368000000,1781259659161000000,0.0
Indexes.stubs.lookupDuration90PMs,1781259645368000000,1781259659161000000,0.0
Indexing.writesQueuedMin,1781259645368000000,1781259659161000000,0
Indexing.writesQueuedMax,1781259645368000000,1781259659161000000,0
Indexes.entries.lookupDurationMaxMs,1781259645368000000,1781259659161000000,6.0
Indexes.allKeys.lookupDurationMaxMs,1781259645368000000,1781259659161000000,0.0
Indexing.cache.totalCacheAccesses,1781259645368000000,1781259659161000000,0
Indexing.totalTimeIndexersSleptMs,1781259645368000000,1781259659161000000,0
Indexing.writesQueuedAvg,1781259645368000000,1781259659161000000,0.0
Indexes.stubs.lookupDurationMaxMs,1781259645368000000,1781259659161000000,0.0
Indexes.allKeys.lookupDuration90PMs,1781259645368000000,1781259659161000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1781259645368000000,1781259659161000000,0
cacheStateStorage.set.counter,1781259645368000000,1781259659161000000,8
cacheStateStorage.get.duration,1781259645368000000,1781259659161000000,0
cacheStateStorage.get.counter,1781259645368000000,1781259659161000000,11
cacheStateStorage.set.duration,1781259645368000000,1781259659161000000,18
